Puzzle,Category,Time(millis),Date(millis),Scramble,Penalty,Comment
"333","cfop","18660","1548836932807","D L2 F D R2 L' F' R L2 B R2 B2 U2 R2 L2 U R2 U B2","0",""
"333","cfop","22180","1548837033630","U2 F2 U2 B2 L2 D' R2 B2 R2 B2 U2 L' F R2 D L R2 B' R F R2","0",""
"333","cfop","16800","1548837078916","F U2 R2 B L2 B2 D2 L2 D2 L2 F2 D' B2 F' R2 U2 L B2 D' L2 R'","0",""
"333","cfop","15960","1548837126068","B2 F R2 D2 L2 R2 F2 U2 F' L B' D' B' L D2 L2 R U L2","0",""
"333","cfop","17040","1548837171609","L B' D' B' L F' B2 R L' U' B U2 B L2 B2 L2 U2 B U2","0",""
"333","cfop","17880","1548837215700","U' L2 U R2 D U2 B2 D' R2 B2 F' D2 R D' L' F' R' D2 U B2","0",""
"333","cfop","16650","1548837254847","D2 F U B' L F' D' R U B2 U2 F' B U2 R2 F2 L2 B' R2 U2","0",""
"333","cfop","17710","1548837296384","F2 D' B U2 L B D R2 F2 B U2 R2 F2 U L2 F2 U R2 U2 R2","0",""
"333","cfop","15580","1548837342571","B' L' B U R' L B L D' B2 D2 B2 D2 R B2 D2 L2 U2 R","0",""
"333","cfop","18080","1548837385266","F' U F2 B2 R U2 D L' U' R' U2 D2 F' U2 F D2 R2 F' D2 L2","0",""
"333","cfop","15760","1548837428012","F R2 F' D2 B' R2 U2 R2 U2 B2 R' D2 L' B R F' D' F2 U R D2","0",""
"333","cfop","13250","1548837467828","U' F2 D F2 D L2 F2 R2 U L D' F L' F' D L2 F' U' B2","0",""
"333","cfop","17140","1548837517235","L U2 L D2 L D2 L2 B2 R F' D' R U B' D' F2 L F R U2","0",""
"333","cfop","15630","1548837559156","L2 F2 R2 F' D2 B2 F' D2 L2 B R' U L' D' F' L2 B' D U' F' L'","0",""
"333","cfop","21130","1548837603470","D' F2 D' L2 U2 L2 B2 D L2 R2 B' F' L' R' F' D' B2 R D' B","1",""
"333","cfop","16280","1548837649520","R' D2 L U2 R2 U2 F2 R F2 L2 F L' B' F R U' L2 B R' B","0",""
"333","cfop","19200","1548837698939","B' R2 D2 L2 D2 R2 B' R2 D2 F2 D B' L' D F' R' D2 B' F D2 U'","0",""
"333","cfop","20340","1548837742815","D' B2 R2 F2 U2 L2 R2 U' R2 D2 B2 L F' D L' R' B F D L2 B2","0",""
"333","cfop","19690","1548837872824","D' F2 D2 R2 D L2 U L2 R2 U2 L U' B' D F L B' R2 B2 F R2","0",""
"333","cfop","21310","1548837933067","U' B L2 F U' B L' F D' R' D2 L D2 F2 L D2 B2 R2 D2","0",""
"333","cfop","18050","1548837977852","L D2 L R F2 D2 F2 U2 L2 D' R F2 D2 B D2 R F2 R F'","0",""
"333","cfop","19950","1548838023685","D2 F2 L2 U2 F2 R2 U' R2 U' F2 L2 B' L D F U' R2 B U R2 D2","0",""
"333","cfop","18680","1548838065905","F2 D2 R2 U L2 U R2 B2 U2 L U2 L D2 L' B D' L2 B2 U F'","0",""
"333","cfop","15850","1548838108001","U2 B2 R2 F2 R2 D L2 B2 F2 D' B2 R' D' F2 R2 F L2 D R2 U L'","0",""
"333","cfop","17380","1548838210594","D2 R2 B' R2 U2 F R2 B' R2 U L' F' L' U R B2 D' B2 U'","1",""
"333","cfop","15410","1548838273103","B' L F2 B U R F2 U' F D R F2 R' D2 L' B2 U2 D2 R2 L F2","0",""
"333","cfop","14180","1548838314982","R2 F2 L2 U F2 L2 D2 L B2 L B' R2 F2 R' D' R2 D'","0",""
"333","cfop","17350","1548838359460","B U2 F' R2 F' L2 B2 R2 U2 R' D' R2 D' B R B2 R F2 D'","0",""
"333","cfop","15230","1548838416795","D' L2 B2 R2 B2 U L2 D' L2 F2 D R B' U' L D2 B2 U L F U","0",""
"333","cfop","19140","1548838464345","D F' D' F2 D' L' U2 F' U B2 U2 F2 U2 B L2 U2 F' U2 B2 L2","1",""
"333","cfop","20220","1548838513870","L2 B U2 L2 B' L2 F2 U2 F D2 F' D' L' B R' F D' L2 F R F2","0",""
"333","cfop","14540","1548838552197","F2 D R' F B D' R' B2 L' D' F2 L2 F B L2 F U2 D2 F U2","0",""
"333","cfop","20040","1548838633180","F2 U2 F2 R2 B2 U R2 B2 L' D B R' U2 B' F' U2 R2 D R'","0",""
"333","cfop","18110","1548838679580","R2 U F' U2 L D2 F' B2 R' F2 L2 U L2 U2 D B2 L2 D' L2 D2","0",""
"333","cfop","17470","1548838718847","R2 F2 R2 L2 D2 B U' F L2 B U2 B2 R F2 R' F2 L' U2 D2 L2","0",""
"333","cfop","26230","1548838781256","L2 F2 D2 F L2 B2 R2 B' R D2 L2 D' L' F' L2 U2 R B","0",""
"333","cfop","19280","1548838822295","D2 U2 B' R2 F' U2 R2 U2 B' F2 L' F2 R2 D L2 F R' D2 L' D'","1",""
"333","cfop","17010","1548838862551","L2 F2 U F2 D2 F2 R2 U' L2 B2 D F L R F' D' R' B' R' B2 L'","1",""
"333","cfop","18650","1548838911649","F2 R' U R B D2 B' D B2 U2 L' U2 D2 R' B2 R' U2 L2 F2","0",""
"333","cfop","17510","1548838954961","D' L2 B2 D B2 R2 D' B2 D' L2 R' U B' D2 L2 F2 U R B R D'","0",""
"333","cfop","19320","1548839003730","L2 U2 R2 D2 R2 F2 R2 B2 F D' U F L' D2 F R F D' B'","0",""
"333","cfop","17970","1548839047591","L2 D U F2 D2 B2 L2 B2 U L R2 U' B' L R' B' F' R U' B2","0",""
"333","cfop","15770","1548839089847","D F2 D' R2 F2 U' R2 D' L2 D B L' D R D' R2 F' L2 D' U2","0",""
"333","cfop","18110","1548839131177","L2 B L' U' R2 D' B R' L' F R' U2 D2 L' B2 U2 R' U2 R'","0",""
"333","cfop","16590","1548839170753","L2 U F2 U F2 U L2 U L2 D' R' U' R' B F' D' L2 R' F' D2 U'","0",""
"333","cfop","16840","1548839212072","U2 R' F2 U2 B2 F2 L' B2 L2 F L D' U2 L U R B2 L2","0",""
"333","cfop","18680","1548840601108","U L2 B2 D U L2 U B2 D' U' L' B' D F' R2 F2 R' U2 L2 F R2","0",""
"333","cfop","25850","1548841357978","D' B D2 F U2 R' D' L' B' U2 L2 B2 D B2 R2 D R2 D' L2 U2","0",""
"333","cfop","16150","1548841403664","F' D2 B D2 B U2 B' L2 R2 D2 R2 D' U' L' F' L2 D' L2 F R F2","0",""
"333","cfop","14970","1548841447037","R2 L2 U' B R U R' D' R2 U' R2 U2 B2 R2 L F2 U2 L' U2 R","0",""
"333","cfop","16280","1548841487727","L2 R2 F2 U2 L2 D L2 R2 F2 U L B' D' U L' U L2 U' F2","0",""
"333","cfop","21550","1548841537003","D B2 D' F2 L2 F2 L2 F2 D' F2 U B' U L B' F' R2 D' R B' F2","0",""
"333","cfop","17230","1548841586669","B U F2 D F2 R B2 R' B' U D2 F R2 D2 B2 D2 B U2 R2","0",""
"333","cfop","20350","1548841631151","B2 F2 L2 F2 L R2 U2 L F2 L B D' F2 U L' B L U' L2","0",""
"333","cfop","16180","1548841670216","R2 U2 B L2 B2 R2 U2 B' R2 B' R2 U R' D F R U2 F' D' L' R'","0",""
"333","cfop","20370","1548841728752","U' D F' B2 D R' L' D F L B L2 U2 F B R2 L2 F D2 F","0",""
"333","cfop","18700","1548841772856","L2 D' F2 R U2 L2 F2 R2 F' D' L' B2 D2 R B2 R' B2 L'","0",""
"333","cfop","18300","1548841816874","U2 L2 F2 R2 F R2 F L2 B D2 U' F2 L D B' U L D' F' R2","0",""
"333","cfop","14000","1548841854200","U' L' F' L B U B2 R B D R2 B R2 B' L2 B D2 L2 D2 F2","0",""
"333","cfop","17150","1548841901052","L2 R2 F2 R2 F2 U2 B R2 F2 L D' R2 D' U' F' D2 R2 F2 L2 U'","0",""
"333","cfop","17410","1548841941176","F2 D2 L2 U2 L2 D F2 D B2 R2 F' D' L B' R B' D2 F D B2","0",""
"333","cfop","15770","1548842005294","D B2 F2 D B2 D' R2 B2 R2 D2 R' F2 D2 B U2 F L B2 D F'","0",""
"333","cfop","15670","1548842128116","U' R2 B2 F2 D' U2 R2 U2 R2 F2 R' F U B2 U2 L' U L2 U2 R","0",""
"333","cfop","15270","1548842169430","D B L2 U' L F R F' R F D2 F2 R2 B L2 F2 U2 F U2 F'","0",""
"333","cfop","15900","1548842688099","F2 L' U2 F2 L R2 B2 L D U R B L' D2 B R D' U'","0",""
"333","cfop","27320","1548842749513","B L' D' R U L2 B L' B2 U' R' U2 R2 B2 L F2 L2 U2 B2 U2 R'","0",""
"333","cfop","25640","1548842808003","D2 R' U2 B D R' D2 B2 L F D2 L2 U2 B2 R2 B2 R2 F' D2 R2","1",""
"333","cfop","19320","1548842857177","B' R2 U R U2 L' F' B2 R D L2 B2 U2 B2 U' B2 D' L2 U2","0",""
"333","cfop","19600","1548842897833","F2 U B2 F2 D' U2 L2 D' B2 D F' U2 L' D2 U2 R2 B D2 U R","0",""
"333","cfop","20230","1548843159998","L R2 U2 R B2 D2 B2 R' D2 F' U L' U' F L' U L2 F2","0",""
"333","cfop","15670","1548843198815","D' U2 F2 R2 U R2 B2 F2 R2 D' F' L D B U L U' R2 F2 L'","0",""
"333","cfop","17080","1548843234295","R F2 R' F2 L' D2 L F2 U B2 D' F' D' U F L2 B2 R' F","0",""
"333","cfop","21790","1548843477428","B2 U R2 U R2 D2 F2 D' B' F D' U2 R D B' D' L2 B U","0",""
"333","cfop","14960","1548843521483","F D2 L' U' F' D2 L2 B2 L' U' B R2 U2 L2 B L2 D2 L2 B R2 D2","0",""
"333","cfop","17870","1548843568039","B' R2 U2 R2 F2 U2 B2 U2 R2 F U2 R U L U2 L2 F' U' B' D R'","0",""
"333","cfop","15640","1548843606421","B2 D2 L B2 U' R' D' B2 R' F B2 R2 F2 U F2 B2 D L2 U' R2 U'","0",""
"333","cfop","22420","1548843647393","R2 D R2 B2 U F2 R2 U' B L R2 B2 R2 F' D L2 D U2","1",""
"333","cfop","16500","1548843689965","U R2 D2 B2 R2 U' L2 B2 F2 R' D' L2 U F' U2 R D' B R D2","0",""
"333","cfop","18660","1548843730518","U' B' U D F' L' B' L2 U2 D' R' B2 U2 D2 R' U2 D2 R' D2 L'","0",""
"333","cfop","15860","1548843779525","F' U D F2 U2 D R' D F' L' U' R2 F2 D L2 B2 U2 D' B2","0",""
"333","cfop","15440","1548843824083","D R' L U B2 U2 L' F' B' U2 B2 R F2 B2 L2 F2 R' D2 L","0",""
"333","cfop","19610","1548843870690","R U' R B R' D' L' B' R F' U2 B R2 B2 R2 U2 L2 B' R2 F2","0",""
"333","cfop","16900","1548843914516","D' R2 U R2 F2 U R2 D2 F2 U2 B2 R F L R D2 R' D U F' D'","0",""
"333","cfop","19040","1548843967888","R2 F U2 R2 F2 L2 U2 R2 D2 F' U' B' D F R2 D L F D2 R","0",""
"333","cfop","16790","1548844006807","R2 D' F2 R2 F' U2 L F L' U L2 U2 D' L2 F2 L2 D L2 U B2","0",""
"333","cfop","17230","1548844042667","R2 U2 B F' D2 R2 F' D R' U' R2 B' U R2 B2 F R","0",""
"333","cfop","18110","1548844089441","F R2 B R2 U2 R2 F L2 F L R D2 B L2 R' D' U2 F' R B'","0",""
"333","cfop","18340","1548844134007","B2 L2 D2 L2 U L2 F2 U' F2 U' B2 F' D U2 L2 F U2 L U' B U","0",""
"333","cfop","23370","1548844185146","U2 F2 R2 U2 L2 D2 B2 F D2 R2 U B' F U' F' R' B' L D B' U'","0",""
"333","cfop","17600","1548844231415","B2 D2 B2 D2 R2 U2 R2 F2 R2 F U L2 D L' D L R D2 U R2","0",""
"333","cfop","22040","1548844280777","U' B L F' D' B' U2 B2 U2 R F R2 F D2 F2 U2 L2 D2 L2 B2","0",""
"333","cfop","16450","1548844326499","B2 D B2 D' U B2 U' R2 B2 U' L R2 U' R' F' U B F2 R' B'","0",""
"333","cfop","19510","1548844367759","F2 D2 L2 R' D2 R2 D2 B2 R F L U2 B2 L2 U B L F L'","0",""
"333","cfop","14610","1548844405155","D2 B2 D2 U2 L' F2 L R D2 B' D F R' B2 D2 B' F2 D2 R","0",""
"333","cfop","16350","1548844451820","F2 D2 U' F2 D' R2 U' R2 D' L2 U' B' D2 U2 F2 R D2 R B' D2 F","0",""
"333","cfop","15710","1548844498730","D2 L U2 R B2 F2 R2 D2 R2 B' R U2 B' U2 B' F2 U R' B2","0",""
"333","cfop","16790","1548844541078","F2 D' R2 U F2 R2 U2 L2 U2 B R F' D U L' D2 U' R2 D2","0",""
"333","cfop","19680","1548844588755","L2 D L2 F2 U L2 D R2 U2 R D2 F' R F2 U2 L' U F' R","0",""
"333","cfop","18530","1548844629221","U2 B U B' L B' U D B' U' B2 R' D2 F2 L2 U2 D2 L U2 L'","0",""
